Results for U.S. Representative
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Conaway,Michael,K.,,Mike,06/11/1948,,2,U.S. Representative,Republican,TX,11,01/03/2005,01/03/2021,Baptist,White,Bachelor's degree,Business or banking,,,,,Army,,
Condit,Gary,A.,,,04/21/1948,,2,U.S. Representative,Democrat,CA,18,01/05/1993,01/03/2003,Baptist,White,Associate degree,Public service/politics,,,,,Did not serve,,
Condit,Gary,A.,,,04/21/1948,,2,U.S. Representative,Democrat,CA,15,09/12/1989,01/03/1993,Baptist,White,Associate degree,Public service/politics,,,,,Did not serve,,
Condon,Robert,Likens,,,11/10/1912,06/03/1976,2,U.S. Representative,Democrat,CA,6,01/03/1953,01/03/1955,Not specified,White,Bachelor's degree,Law,,,,,Army,,
Conlan,John,B.,,,09/17/1930,,2,U.S. Representative,Republican,AZ,4,01/03/1973,01/03/1977,Independent Bible Church,White,Professional degree,Education,Law,,,,Army,,
Connolly,Gerald,E.,,,03/30/1950,,2,U.S. Representative,Democrat,VA,11,01/06/2009,01/03/2023,Roman Catholic,White,Master's degree,Public service/politics,,,,,Did not serve,,
Conover,William,"Sheldrick,",II,,08/27/1928,,2,U.S. Representative,Republican,PA,27,04/25/1972,01/03/1975,Methodist,White,Bachelor's degree,Business or banking,,,,,Navy,,
Conte,Silvio,Otto,,,11/09/1921,02/08/1991,2,U.S. Representative,Republican,MA,1,01/07/1959,02/08/1991,Roman Catholic,White,Professional degree,Law,,,,,Navy,,
Conway,Connie,Marie,,,09/25/1950,,1,U.S. Representative,Republican,CA,22,06/07/2022,01/03/2023,Roman Catholic,White,High School graduate,Public service/politics,,,,,,,
Conyers,John,,Jr.,,05/16/1929,10/27/2019,2,U.S. Representative,Democrat,MI,13,01/03/2013,12/05/2017,Baptist,African American,Bachelor's degree,Law,Public service/politics,,,,Army,National Guard,Reserve
Conyers,John,,Jr.,,05/16/1929,10/27/2019,2,U.S. Representative,Democrat,MI,1,01/04/1965,01/03/1993,Baptist,African American,Bachelor's degree,Law,Public service/politics,,,,Army,National Guard,Reserve
Conyers,John,,Jr.,,05/16/1929,10/27/2019,2,U.S. Representative,Democrat,MI,14,01/05/1993,01/03/2013,Baptist,African American,Bachelor's degree,Law,Public service/politics,,,,Army,National Guard,Reserve
Cook,Merrill,,,,05/06/1946,,2,U.S. Representative,Republican,UT,2,01/07/1997,01/03/2001,Mormon,White,Master's degree,Business or banking,Journalism,Misc.,,,Did not serve,,
Cook,Paul,,,,03/03/1943,,2,U.S. Representative,Republican,CA,8,01/03/2013,12/07/2020,Roman Catholic,White,Bachelor's degree,Education,,,,,Marine Corp,,
Cook,Robert,Eugene,,,05/19/1920,11/28/1988,2,U.S. Representative,Democrat,OH,11,01/07/1959,12/13/1962,Roman Catholic,White,Professional degree,Law,,,,,Air Force,,
Cooksey,John,C.,,,08/20/1941,,2,U.S. Representative,Republican,LA,5,01/07/1997,01/03/2003,Methodist,White,Master's degree,Medicine,,,,,Air Force,Reserve,
Cooley,Harold,Dunbar,,,07/26/1897,01/15/1974,2,U.S. Representative,Democrat,NC,4,01/03/1945,12/30/1966,Baptist,White,Professional degree,Law,,,,,Navy Air Corps,,
Cooley,Wester,,,Wes,03/28/1932,02/04/2015,2,U.S. Representative,Republican,OR,2,01/04/1995,01/03/1997,Protestant,Not specified,Bachelor's degree,Agriculture,Business or banking,,,,Army,,
Coon,Samuel,Harrison,,,04/15/1903,05/08/1980,2,U.S. Representative,Republican,OR,2,01/03/1953,01/03/1957,Not specified,White,Bachelor's degree,Agriculture,Real Estate,,,,Did not serve,,
Cooper,James,Hayes Shofner,,Jim,06/19/1954,,2,U.S. Representative,Democrat,TN,4,01/03/1983,01/03/1995,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Cooper,James,Hayes Shofner,,Jim,06/19/1954,,2,U.S. Representative,Democrat,TN,5,01/20/2003,01/03/2023,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Cooper,Jere,,,,07/20/1893,12/18/1957,2,U.S. Representative,Democrat,TN,9,01/03/1929,01/03/1953,Presbyterian,White,Professional degree,Law,,,,,National Guard,,
Cooper,Jere,,,,07/20/1893,12/18/1957,2,U.S. Representative,Democrat,TN,8,01/03/1953,12/18/1957,Presbyterian,White,Professional degree,Law,,,,,National Guard,,
Coppersmith,Sam,,,,05/22/1955,,2,U.S. Representative,Democrat,AZ,1,01/05/1993,01/03/1995,Jewish,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Corbett,Robert,James,,,08/25/1905,04/25/1971,2,U.S. Representative,Republican,PA,30,01/03/1945,01/02/1953,Presbyterian,White,Master's degree,Congressional Aide,Education,Law Enforcement,,,Did not serve,,
Corbett,Robert,James,,,08/25/1905,04/25/1971,2,U.S. Representative,Republican,PA,29,01/03/1953,01/08/1963,Presbyterian,White,Master's degree,Congressional Aide,Education,Law Enforcement,,,Did not serve,,
Corbett,Robert,James,,,08/25/1905,04/25/1971,2,U.S. Representative,Republican,PA,18,01/09/1963,04/25/1971,Presbyterian,White,Master's degree,Congressional Aide,Education,Law Enforcement,,,Did not serve,,
Corcoran,Thomas,J.,,,05/23/1939,,2,U.S. Representative,Republican,IL,14,01/03/1983,01/03/1985,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Army,,
Corcoran,Thomas,J.,,,05/23/1939,,2,U.S. Representative,Republican,IL,15,01/04/1977,01/03/1983,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Army,,
Corman,James,Charles,,,10/20/1920,12/30/2000,2,U.S. Representative,Democrat,CA,22,01/03/1961,01/13/1975,Methodist,White,Professional degree,Law,,,,,Marine Corps,,
Corman,James,Charles,,,10/20/1920,12/30/2000,2,U.S. Representative,Democrat,CA,21,01/14/1975,01/03/1981,Methodist,White,Professional degree,Law,,,,,Marine Corps,,
Cornell,Robert,J.,,,12/16/1919,05/10/2009,2,U.S. Representative,Democrat,WI,8,01/14/1975,01/03/1979,Roman Catholic,White,Doctorate degree,Clergy,Education,,,,Did not serve,,
Cornwell,David,Lance,,,06/14/1945,,2,U.S. Representative,Democrat,IN,8,01/04/1977,01/03/1979,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Army,,
Correa,Lou,,,,01/24/1958,,2,U.S. Representative,Democrat,CA,46,01/20/2017,01/03/2023,Roman Catholic,Hispanic,Professional degree,Business or banking,,,,,,,
Costa,Jim,,,,04/13/1952,,2,U.S. Representative,Democrat,CA,20,01/03/2005,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Costa,Jim,,,,04/13/1952,,2,U.S. Representative,Democrat,CA,16,01/20/2013,01/03/2023,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Costello,Jerry,F.,,,09/25/1949,,2,U.S. Representative,Democrat,IL,12,01/04/1993,01/03/2013,Roman Catholic,White,Master's degree,Law Enforcement,,,,,Did not serve,,
Costello,Jerry,F.,,,09/25/1949,,2,U.S. Representative,Democrat,IL,21,08/09/1988,01/03/1993,Roman Catholic,White,Master's degree,Law Enforcement,,,,,Did not serve,,
Costello,Ryan,,,,09/07/1976,,2,U.S. Representative,Republican,PA,6,01/03/2015,01/03/2019,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Cotter,William,R.,,,07/18/1926,09/08/1981,2,U.S. Representative,Democrat,CT,1,01/21/1971,09/08/1981,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Cotton,Norris,R.,,,05/11/1900,02/24/1989,2,U.S. Representative,Republican,NH,2,01/03/1947,11/07/1954,Congregationalist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Cotton,Tom,,,,05/13/1977,,2,U.S. Representative,Republican,AR,4,01/03/2013,01/02/2015,Methodist,White,Professional degree,Business or banking,Law,,,,Army,,
Coudert,Frederick,Ren&eacute;,Jr.,,05/07/1898,05/21/1972,2,U.S. Representative,Republican,NY,17,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Army,,
Coughlin,Robert,Lawrence,,,04/11/1929,11/30/2001,2,U.S. Representative,Republican,PA,13,01/03/1969,01/03/1993,Episcopalian,White,Professional degree,Law,,,,,Marine Corps Reserve,,
Courter,James,Andrew,,Jim,10/14/1941,,2,U.S. Representative,Republican,NJ,12,01/03/1983,01/03/1991,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Courter,James,Andrew,,Jim,10/14/1941,,2,U.S. Representative,Republican,NJ,13,01/15/1979,01/03/1983,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Courtney,Joe,,,,04/06/1953,,2,U.S. Representative,Democrat,CT,2,01/20/2007,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Courtney,William,Wirt,,,09/07/1889,04/06/1961,2,U.S. Representative,Democrat,TN,7,01/03/1945,01/03/1949,Episcopalian,White,Professional degree,Law,,,,,Army,,
Cowger,William,Owen,,,01/01/1922,10/02/1971,2,U.S. Representative,Republican,KY,3,01/10/1967,01/03/1972,Presbyterian,White,Bachelor's degree,Real Estate,,,,,Navy,,
Cox,Charles,Christopher,,Chris,10/16/1952,,2,U.S. Representative,Republican,CA,40,01/03/1989,01/04/1993,Roman Catholic,White,Professional degree,Business or banking,,,,,Did not serve,,
Cox,Charles,Christopher,,Chris,10/16/1952,,2,U.S. Representative,Republican,CA,48,01/03/2003,08/02/2005,Roman Catholic,White,Professional degree,Business or banking,,,,,Did not serve,,
Cox,Charles,Christopher,,Chris,10/16/1952,,2,U.S. Representative,Republican,CA,47,01/05/1993,01/03/2003,Roman Catholic,White,Professional degree,Business or banking,,,,,Did not serve,,
Cox,Edward,Eugene,,,04/03/1880,12/24/1952,2,U.S. Representative,Democrat,GA,2,01/03/1945,12/24/1952,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Cox,John,W.,Jr.,,07/10/1947,,2,U.S. Representative,Democrat,IL,16,01/03/1991,01/03/1993,Roman Catholic,White,Professional degree,Education,Law,,,,Army,,
Cox,TJ,,,,07/18/1963,,2,U.S. Representative,Democrat,CA,21,01/03/2019,01/03/2021,Roman Catholic,Asian American,Unknown,,,,,,,,
Coyne,James,Kitchenman,,,11/17/1946,,2,U.S. Representative,Republican,PA,8,01/05/1981,01/03/1983,Presbyterian,White,Bachelor's degree,Business or banking,Education,,,,Did not serve,,
Coyne,William,J.,,,08/24/1936,,2,U.S. Representative,Democrat,PA,14,01/05/1981,01/03/2003,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Army,,
Craig,Angie,,,,02/14/1972,,1,U.S. Representative,Democrat,MN,2,01/20/2019,01/03/2023,Lutheran,White,Bachelor's degree,,,,,,,,
Craig,Larry,E.,,,07/20/1945,,2,U.S. Representative,Republican,ID,1,01/05/1981,01/03/1991,Methodist,White,Bachelor's degree,Agriculture,Real Estate,,,,National Guard,,
Craley,Nathaniel,Nieman,Jr.,,11/17/1927,06/18/2006,2,U.S. Representative,Democrat,PA,19,01/04/1965,01/03/1967,Lutheran,White,Bachelor's degree,Business or banking,Education,Public service/politics,,,Did not serve,,
Cramer,Kevin,,,,01/21/1961,,2,U.S. Representative,Republican,ND,AL,01/03/2013,01/03/2019,Evangelical,White,Master's degree,Public service/politics,,,,,Did not serve,,
Cramer,Robert,E.,,Bud,08/22/1947,,2,U.S. Representative,Democrat,AL,5,01/03/1991,01/05/2009,Methodist,White,Bachelor's degree,Education,Law,,,,Army,Reserve,Reserve
Cramer,William,Cato,,,08/04/1922,10/18/2003,2,U.S. Representative,Republican,FL,1,01/05/1955,01/08/1963,Methodist,White,Professional degree,Law,,,,,Navy Reserve,,
Cramer,William,Cato,,,08/04/1922,10/18/2003,2,U.S. Representative,Republican,FL,12,01/09/1963,01/09/1967,Methodist,White,Professional degree,Law,,,,,Navy Reserve,,
Cramer,William,Cato,,,08/04/1922,10/18/2003,2,U.S. Representative,Republican,FL,8,01/10/1967,01/03/1971,Methodist,White,Professional degree,Law,,,,,Navy Reserve,,
Crane,Daniel,B.,,,01/10/1936,,2,U.S. Representative,Republican,IL,19,01/03/1983,01/03/1985,Methodist,White,Professional degree,Medicine,,,,,Army,,
Crane,Daniel,B.,,,01/10/1936,,2,U.S. Representative,Republican,IL,22,01/15/1979,01/03/1983,Methodist,White,Professional degree,Medicine,,,,,Army,,
Crane,Philip,Miller,,,11/03/1930,11/08/2014,2,U.S. Representative,Republican,IL,12,01/03/1973,01/03/1993,Protestant,Not specified,Doctorate degree,Acting/entertainer,Business or banking,Education,,,Army,,
Crane,Philip,Miller,,,11/03/1930,11/08/2014,2,U.S. Representative,Republican,IL,8,01/05/1993,01/02/2005,Protestant,Not specified,Doctorate degree,Acting/entertainer,Business or banking,Education,,,Army,,
Crane,Philip,Miller,,,11/03/1930,11/08/2014,2,U.S. Representative,Republican,IL,13,11/25/1969,01/03/1973,Protestant,Not specified,Doctorate degree,Acting/entertainer,Business or banking,Education,,,Army,,
Crapo,Michael,D.,,,05/20/1951,,2,U.S. Representative,Republican,ID,2,01/05/1993,01/03/1999,Mormon,White,Professional degree,Law,,,,,Did not serve,,
Cravaack,Chip,,,,01/29/1959,,2,U.S. Representative,Republican,MN,8,01/03/2011,01/02/2013,Roman Catholic,White,Master's degree,Military,,,,,U.S. Naval Reserve,,
Cravens,William,Fadjo,,,02/15/1899,04/16/1974,2,U.S. Representative,Democrat,AR,4,01/03/1945,01/03/1949,Not specified,White,Professional degree,Law,,,,,Navy,,
Crawford,Fred,Lewis,,,05/05/1888,04/13/1957,2,U.S. Representative,Republican,MI,8,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Crawford,Rick,,,,01/22/1966,,2,U.S. Representative,Republican,AR,1,01/20/2011,01/03/2023,Southern Baptist,White,Bachelor's degree,Journalism,,,,,U.S. Army,,
Cremeans,Frank,A.,,,04/05/1943,01/02/2003,2,U.S. Representative,Republican,OH,6,01/04/1995,01/03/1997,United Methodist,White,Master's degree,Business or banking,Education,,,,Did not serve,,
Crenshaw,Ander,,,,11/01/1944,,2,U.S. Representative,Republican,FL,4,01/03/2001,01/03/2017,Episcopalian,White,Professional degree,Business or banking,,,,,Did not serve,,
Crenshaw,Daniel,,,Dan,03/14/1984,,2,U.S. Representative,Republican,TX,2,01/20/2019,01/03/2023,Methodist,White,Master's degree,,,,,,,,
Cretella,Albert,William,,,04/22/1897,05/24/1979,2,U.S. Representative,Republican,CT,3,01/03/1953,01/03/1959,Not specified,White,Professional degree,Law,,,,,Navy,,
Crist,Charlie,,,,07/24/1956,,2,U.S. Representative,Democrat,FL,13,01/20/2017,01/03/2023,Methodist,White,Professional degree,Law,,,,,,,
Critz,Mark,,,,01/05/1962,,2,U.S. Representative,Democrat,PA,12,05/18/2010,01/03/2013,Not specified,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Crockett,George,William,Jr.,,08/10/1909,09/07/1997,2,U.S. Representative,Democrat,MI,13,11/04/1980,01/03/1991,Baptist,African American,Professional degree,Law,,,,,Did not serve,,
Cronin,Paul,W.,,,03/14/1938,04/05/1997,2,U.S. Representative,Republican,MA,5,01/03/1973,01/03/1975,Not specified,White,Master's degree,Congressional Aide,,,,,Did not serve,,
Crook,Thurman,Charles,,,07/18/1891,10/23/1981,2,U.S. Representative,Democrat,IN,3,01/03/1949,01/03/1952,Not specified,White,Bachelor's degree,Education,,,,,Did not serve,,
Crosser,Robert,,,,06/07/1874,06/03/1957,2,U.S. Representative,Democrat,OH,21,01/03/1945,01/03/1955,Not specified,White,Professional degree,Education,Law,,,,Did not serve,,
Crow,Jason,,,,03/15/1979,,2,U.S. Representative,Democrat,CO,6,01/20/2019,01/03/2023,Non-denominational Christian,White,Professional degree,,,,,,,,
Crow,William,Josiah,,,01/22/1902,10/13/1974,2,U.S. Representative,Republican,PA,23,01/03/1947,01/03/1949,Not specified,White,Professional degree,Law,,,,,Army,,
Crowley,Joseph,,,,03/16/1962,,2,U.S. Representative,Democrat,NY,7,01/03/1999,01/03/2013,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Crowley,Joseph,,,,03/16/1962,,2,U.S. Representative,Democrat,NY,14,01/03/2013,01/03/2019,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Crumpacker,Shepard,J.,Jr.,,02/13/1917,10/14/1986,2,U.S. Representative,Republican,IN,3,01/03/1951,01/03/1957,Not specified,White,Professional degree,Agriculture,Law,,,,Army Air Corps,,
Cubin,Barbara,,,,11/30/1946,,1,U.S. Representative,Republican,WY,AL,01/04/1995,01/05/2009,Episcopalian,White,Bachelor's degree,Medicine,Real Estate,,,,Did not serve,,
Cuellar,Henry,,,,09/19/1955,,2,U.S. Representative,Democrat,TX,28,01/20/2005,01/03/2023,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,
Culberson,John,,,,08/24/1956,,2,U.S. Representative,Republican,TX,7,01/03/2001,01/03/2019,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Culver,John,Chester,,,08/08/1932,12/26/2018,2,U.S. Representative,Democrat,IA,2,01/04/1965,01/03/1975,Presbyterian,White,Professional degree,Law,,,,,Marine Corps,,
Cummings,Elijah,E.,,,01/18/1951,10/17/2019,2,U.S. Representative,Democrat,MD,7,04/16/1996,10/17/2019,Baptist,African American,Professional degree,Law,,,,,Did not serve,,
Cunningham,Glenn,Clarence,,,09/10/1912,12/18/2003,2,U.S. Representative,Republican,NE,2,01/03/1957,01/03/1972,Episcopalian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Cunningham,Joe,,,,05/26/1982,,2,U.S. Representative,Democrat,SC,1,01/03/2019,01/03/2021,Christian,White,Unknown,,,,,,,,
Cunningham,John,E.,,,03/27/1931,,2,U.S. Representative,Republican,WA,7,05/17/1977,01/03/1979,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Air National Guard,Army,
Cunningham,Paul,Harvey,,,06/15/1890,07/16/1961,2,U.S. Representative,Republican,IA,5,01/03/1945,01/03/1959,Presbyterian,White,Professional degree,Law,,,,,National Guard-Iowa,,
Cunningham,Randy,,,Duke,12/08/1941,,2,U.S. Representative,Republican,CA,44,01/03/1991,01/04/1993,Baptist,White,Professional degree,Business or banking,Military,,,,Navy,,
Cunningham,Randy,,,Duke,12/08/1941,,2,U.S. Representative,Republican,CA,50,01/03/2003,12/01/2005,Baptist,White,Professional degree,Business or banking,Military,,,,Navy,,
Cunningham,Randy,,,Duke,12/08/1941,,2,U.S. Representative,Republican,CA,51,01/05/1993,01/02/2003,Baptist,White,Professional degree,Business or banking,Military,,,,Navy,,
Curbelo,Carlos,,,,03/01/1980,,2,U.S. Representative,Republican,FL,26,01/03/2015,01/03/2019,Roman Catholic,Hispanic,Master's degree,Business or banking,,,,,Did not serve,,
Curley,James,,,,11/20/1874,11/12/1958,2,U.S. Representative,Democrat,MA,11,01/03/1945,01/03/1947,Not specified,White,High School graduate,Business or banking,,,,,,,
Curlin,William,P.,Jr.,,11/30/1933,,2,U.S. Representative,Democrat,KY,6,12/04/1971,01/03/1973,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Curson,David,,,,11/04/1948,,2,U.S. Representative,Democrat,MI,11,11/06/2012,01/02/2013,Not specified,White,High School graduate,Labor leader,,,,,US Marine Corp,,
Curtin,Willard,Sevier,,,11/28/1905,02/04/1996,2,U.S. Representative,Republican,PA,8,01/03/1957,01/03/1967,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Curtis,Carl,Thomas,,,03/15/1905,01/24/2000,2,U.S. Representative,Republican,NE,1,01/03/1939,12/31/1954,Presbyterian,White,Professional degree,Education,Law,,,,Did not serve,,
Curtis,John,,,,05/10/1960,,2,U.S. Representative,Republican,UT,3,11/13/2017,01/03/2023,Mormon,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Curtis,Laurence,,,,09/03/1893,07/11/1989,2,U.S. Representative,Republican,MA,10,01/03/1953,01/03/1963,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Curtis,Thomas,Bradford,,,05/14/1911,01/10/1993,2,U.S. Representative,Republican,MO,12,01/03/1951,01/02/1953,Unitarian,White,Professional degree,Law,,,,,Army,Navy,
Curtis,Thomas,Bradford,,,05/14/1911,01/10/1993,2,U.S. Representative,Republican,MO,2,01/03/1953,01/03/1969,Unitarian,White,Professional degree,Law,,,,,Army,Navy,
Daddario,Emilio,Quincy,,,09/24/1918,07/07/2010,2,U.S. Representative,Democrat,CT,1,01/07/1959,01/03/1972,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Dague,Paul,Bartram,,,05/19/1898,12/02/1974,2,U.S. Representative,Republican,PA,9,01/03/1947,12/30/1966,Presbyterian,White,Bachelor's degree,Law Enforcement,Public service/politics,,,,Marine Corps,,
Dahlkemper,Kathleen,A.,,Kathy,12/09/1957,,1,U.S. Representative,Democrat,PA,3,01/06/2009,01/03/2011,Roman Catholic,White,Bachelor's degree,Construction/building trades,,,,,Did not serve,,
Daines,Steve,,,,08/20/1962,,2,U.S. Representative,Republican,MT,AL,01/03/2013,01/02/2015,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
D'Alesandro,Thomas,,Jr.,,08/01/1903,08/23/1987,2,U.S. Representative,Democrat,MD,3,01/03/1939,05/16/1947,Not specified,White,Unknown,Business or banking,,,,,,,
D'Amours,Norman,E.,,,10/14/1937,,2,U.S. Representative,Democrat,NH,1,01/14/1975,01/03/1985,Roman Catholic,White,Professional degree,Law,,,,,Army Reserve,,
Daniel,Robert,W.,Jr.,,03/17/1936,,2,U.S. Representative,Republican,VA,4,01/03/1973,01/03/1983,Episcopalian,White,Master's degree,Agriculture,Business or banking,Education,Public service/politics,,Army Reserve,,
Daniel,Wilbur,Clarence,,Dan,05/12/1914,01/23/1988,2,U.S. Representative,Democrat,VA,5,01/03/1969,01/23/1988,Baptist,White,High School graduate,Business or banking,,,,,Navy,,
Daniels,Dominick,Vincent,,,10/18/1908,07/17/1987,2,U.S. Representative,Democrat,NJ,14,01/07/1959,01/03/1977,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Danielson,George,Elmore,,,02/20/1915,09/12/1998,2,U.S. Representative,Democrat,CA,30,01/14/1975,03/09/1982,Protestant,White,Professional degree,Agriculture,Law,Law Enforcement,,,Navy,,
Danielson,George,Elmore,,,02/20/1915,09/12/1998,2,U.S. Representative,Democrat,CA,29,01/21/1971,01/13/1975,Protestant,White,Professional degree,Agriculture,Law,Law Enforcement,,,Navy,,
Dannemeyer,William,Edwin,,,09/22/1929,07/09/2019,2,U.S. Representative,Republican,CA,39,01/15/1979,01/03/1993,Lutheran,White,Professional degree,Law,,,,,Army,,
Danner,Pat,,,,01/13/1934,,1,U.S. Representative,Democrat,MO,6,01/05/1993,01/03/2001,Roman Catholic,White,Bachelor's degree,Congressional Aide,Public service/politics,,,,Did not serve,,
Darden,George,,,Buddy,11/22/1943,,2,U.S. Representative,Democrat,GA,7,11/08/1983,01/01/1995,Methodist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Daschle,Thomas,Andrew,,,12/09/1947,,2,U.S. Representative,Democrat,SD,AL,01/03/1983,01/03/1987,Roman Catholic,White,Bachelor's degree,Congressional Aide,,,,,Air Force,,
Daschle,Thomas,Andrew,,,12/09/1947,,2,U.S. Representative,Democrat,SD,1,01/15/1979,01/03/1983,Roman Catholic,White,Bachelor's degree,Congressional Aide,,,,,Air Force,,
Daub,Harold,John,Jr.,Hal,04/23/1941,,2,U.S. Representative,Republican,NE,2,01/05/1981,01/03/1989,Presbyterian,White,Professional degree,Agriculture,Law,,,,Army,,
Daughton,Ralph,H.,,,09/23/1885,12/22/1958,2,U.S. Representative,Democrat,VA,2,01/03/1945,01/03/1947,Not specified,White,Professional degree,Law,,,,,,,
Davenport,Harry,James,,,08/28/1902,12/19/1977,2,U.S. Representative,Democrat,PA,29,01/03/1949,01/03/1952,Not specified,White,High School graduate,Journalism,,,,,Did not serve,,
Davids,Sharice,,,,05/22/1980,,1,U.S. Representative,Democrat,KS,3,01/20/2019,01/03/2023,Not specified,Native American,Professional degree,,,,,,,,
Davidson,Irwin,Delmore,,,01/02/1906,08/01/1981,2,U.S. Representative,Democrat,NY,20,01/05/1955,12/31/1956,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Davidson,Warren,,,,03/01/1970,,2,U.S. Representative,Republican,OH,8,06/07/2016,01/03/2023,Protestant,White,Master's degree,Business or banking,,,,,U.S. Army,,
Davies,John,Clay,,,05/01/1920,06/17/2002,2,U.S. Representative,Democrat,NY,35,01/03/1949,01/03/1952,Episcopalian,White,High School graduate,Journalism,Misc.,Public service/politics,,,Did not serve,,
Davis,Artur,,,,04/09/1967,,2,U.S. Representative,Democrat,AL,7,01/03/2003,01/03/2011,Not specified,African American,Professional degree,Journalism,Law,,,,Did not serve,,
Davis,Clifford,,,,11/18/1897,06/08/1970,2,U.S. Representative,Democrat,TN,10,01/03/1945,01/02/1953,Baptist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Davis,Clifford,,,,11/18/1897,06/08/1970,2,U.S. Representative,Democrat,TN,9,01/03/1953,01/03/1965,Baptist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Davis,Danny,K.,,,09/06/1941,,2,U.S. Representative,Democrat,IL,7,01/07/1997,01/03/2023,Baptist,African American,Doctorate degree,Education,Medicine,Public service/politics,,,Did not serve,,
Davis,David,,,,11/06/1959,,2,U.S. Representative,Republican,TN,1,01/03/2007,01/05/2009,Baptist,White,Bachelor's degree,Medicine,,,,,Did not serve,,
Davis,Geoff,,,,10/26/1958,,2,U.S. Representative,Republican,KY,4,01/03/2005,07/31/2012,Baptist,White,Bachelor's degree,Business or banking,,,,,Army,,
Davis,Glenn,Robert,,,10/28/1914,09/21/1988,2,U.S. Representative,Republican,WI,9,01/03/1965,12/31/1974,United Church of Christ,White,Professional degree,Education,Law,,,,Navy,,
Davis,Glenn,Robert,,,10/28/1914,09/21/1988,2,U.S. Representative,Republican,WI,2,04/22/1947,01/03/1957,United Church of Christ,White,Professional degree,Education,Law,,,,Navy,,
Davis,Jack,,,,09/06/1935,,2,U.S. Representative,Republican,IL,4,01/06/1987,01/03/1989,Protestant,White,Doctorate degree,Business or banking,,,,,Navy,,
Davis,James,Curran,,,05/17/1895,12/18/1981,2,U.S. Representative,Democrat,GA,5,01/03/1947,01/03/1963,Methodist,White,High School graduate,Business or banking,Law,,,,Marine Corps,,
Davis,Jim,,,,10/11/1957,,2,U.S. Representative,Democrat,FL,11,01/07/1997,01/03/2007,Episcopalian,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Davis,Jo Ann,S.,,,06/29/1950,10/06/2007,1,U.S. Representative,Republican,VA,1,01/03/2001,01/05/2009,Assembly of God,White,High School graduate,,,,,,Did not serve,,
Davis,John,William,,,09/12/1916,10/03/1992,2,U.S. Representative,Democrat,GA,7,01/03/1961,01/03/1975,Presbyterian,White,Professional degree,Law,,,,,Army,,
Davis,Lincoln,E,,,09/13/1943,,2,U.S. Representative,Democrat,TN,4,01/03/2003,01/03/2011,Baptist,White,Bachelor's degree,Business or banking,Construction/building trades,Engineering,,,Did not serve,,
Davis,Mendel,Jackson,,,10/23/1942,,2,U.S. Representative,Democrat,SC,1,04/27/1971,01/03/1981,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Davis,Robert,W.,,,07/31/1932,10/16/2009,2,U.S. Representative,Republican,MI,11,01/15/1979,01/03/1993,Episcopalian,Not specified,Bachelor's degree,Business or banking,,,,,Army,Did not serve,
