,icpsr,degree,clustering,pagerank,name,name_dw,party,state
52,12105,107.90827867119495,0.0020039704003284257,0.001050770941353436,M. GRAVEL,"GRAVEL, Maurice Robert (Mike)",D,AK
53,12107,255.68574471851866,0.0018036462418303733,0.003067972057820556,R. PACKWOOD,"PACKWOOD, Robert William",R,OR
54,13000,104.41296027442147,0.001985770200086267,0.001648512879825561,J. ABOUREZK,"ABOUREZK, James George",D,SD
55,13039,314.17670768168597,0.0022610958551199617,0.0024463959437314737,P. SARBANES,"SARBANES, Paul Spyros",D,MD
56,13056,326.1431490946274,0.0029235670698186215,0.0030023593000979756,J. BREAUX,"BREAUX, John Berlinger",D,LA
57,13101,200.33851294354824,0.002059753547749077,0.002840425746646477,L. CHILES,"CHILES, Lawton Mainor, Jr.",D,FL
58,13102,64.1701619536668,0.001568208746985956,0.0015135704850883372,A. STEVENSON,"STEVENSON, Adlai Ewing III",D,IL
59,14000,82.72877438571508,0.0023916652519260315,0.0010409251581505658,J. ABDNOR,"ABDNOR, James",R,SD
60,14002,125.32682545053996,0.0026596285307884417,0.002078409105207371,W. ARMSTRONG,"ARMSTRONG, William Lester",R,CO
61,14009,545.9100204267695,0.0020885524213049263,0.0030235555635591206,W. COCHRAN,"COCHRAN, William Thad",R,MS
62,14010,205.17972360412062,0.002249617081656812,0.002122093031372807,W. COHEN,"COHEN, William Sebastian",R,ME
63,14031,243.6915657323936,0.002390332729418224,0.0016818212777536092,C. LOTT,"LOTT, Chester Trent",R,MS
64,14056,244.05827321233232,0.0031180001606518275,0.0021188612676321774,S. SYMMS,"SYMMS, Steven Douglas",R,ID
65,14073,316.59460042492606,0.0034177960037728543,0.004257447860788938,H. METZENBAUM,"METZENBAUM, Howard Morton",D,OH
66,14077,173.1049662011087,0.0016009552090552083,0.0018915503462326594,P. LAXALT,"LAXALT, Paul Dominque",R,NV
67,14100,86.24970333266742,0.0017441055639836245,0.0017827331615554132,D. BARTLETT,"BARTLETT, Dewey Follett",R,OK
68,14101,357.1249620431988,0.002316459116603039,0.004053493827016899,J. BIDEN,"BIDEN, Joseph Robinette, Jr.",D,DE
69,14103,756.1648024793067,0.0021360746543339685,0.008103377371078043,P. DOMENICI,"DOMENICI, Pete Vichi",R,NM
70,14104,51.83174554357115,0.001461347381367222,0.001020461828283919,F. HASKELL,"HASKELL, Floyd Kirk",D,CO
71,14105,413.1773639785079,0.0021295175437848397,0.0038611244709664473,J. HELMS,"HELMS, Jesse",R,NC
72,14106,145.9041347419575,0.0018737251363128012,0.001652959267088397,W. HUDDLESTON,"HUDDLESTON, Walter Darlington",D,KY
73,14107,261.7948476110346,0.0019554399066003376,0.0032990694842474667,J. JOHNSTON,"JOHNSTON, John Bennett, Jr.",D,LA
74,14108,194.68052214738344,0.0019521610564704462,0.0026494738066444932,S. NUNN,"NUNN, Samuel Augustus",D,GA
75,14203,724.3403236207938,0.0027233195104776455,0.007016854804699428,M. BAUCUS,"BAUCUS, Max Sieben",D,MT
76,14213,680.0113112539185,0.0036439795149613903,0.006192199379799319,C. DODD,"DODD, Christopher John",D,CT
77,14226,1301.640184180434,0.0033388762118136944,0.012188624132328357,C. GRASSLEY,"GRASSLEY, Charles Ernest",R,IA
78,14230,648.6126142596654,0.003358584297614169,0.005930051487841609,T. HARKIN,"HARKIN, Thomas Richard (Tom)",D,IA
79,14268,264.7614751847889,0.0025865054807818516,0.0024250394556712077,L. PRESSLER,"PRESSLER, Larry Lee",R,SD
80,14282,92.07722546575187,0.002518470589159004,0.0010527215813157622,T. WIRTH,"WIRTH, Timothy E.",D,CO
81,14300,321.01923821489686,0.002401668423091618,0.004175380490739081,D. BUMPERS,"BUMPERS, Dale",D,AR
82,14303,247.63354122672465,0.0021465781696562453,0.0025044991253519427,E. GARN,"GARN, Edwin Jacob (Jake)",R,UT
83,14304,256.85585613751357,0.002848382117431261,0.0034518847937825984,J. GLENN,"GLENN, John Herschel, Jr.",D,OH
84,14305,148.70173852298967,0.0022509255220377155,0.0025212256827983268,G. HART,"HART, Gary Warren",D,CO
85,14307,1039.5938873401692,0.002738613524957323,0.008187343724429186,P. LEAHY,"LEAHY, Patrick Joseph",D,VT
86,14308,58.8379364587791,0.0013984922199676275,0.0008902017482738975,R. MORGAN,"MORGAN, Robert Burren",D,NC
87,14309,101.53033350509294,0.0016924635934153155,0.0014161443443425987,R. STONE,"STONE, Richard Bernard",D,FL
88,14310,78.55355617188337,0.001776287194531982,0.0015449084636858202,J. DURKIN,"DURKIN, John Anthony",D,NH
89,14423,147.25344977064185,0.003166744707886615,0.001615199503678159,A. GORE,"GORE, Albert Arnold, Jr.",D,TN
90,14440,498.1247896627831,0.0029026660586290005,0.0025423684843844155,B. MIKULSKI,"MIKULSKI, Barbara Ann",D,MD
