"term","estimate","std.error","mcmc.error","statistic","p.value","congress"
"nonzero",-1.553580650963,0.0366099671582889,0,-42.4360023117708,0,112
"nodecov.sum.nominate_dim1",-0.974532152892314,0.0359399464506243,0,-27.115570531836,6.45236982150473e-162,112
"absdiff.sum.nominate_dim1",-0.654661860530238,0.0432357549595209,0,-15.1416775569933,8.59918751455914e-52,112
"nodefactor.sum.party.R",0.600645879015083,0.0268364846002762,0,22.3816900000718,5.93520011369709e-111,112
"nodematch.sum.party",0.414867035288272,0.0222512886980099,0,18.6446295726403,1.39618068406519e-77,112
"nonzero",-1.9951942219435,0.0307441910646842,0,-64.896624462999,0,113
"nodecov.sum.nominate_dim1",-0.333943963195217,0.0256522216873823,0,-13.0181302526118,9.65050783879235e-39,113
"absdiff.sum.nominate_dim1",0.404249323404631,0.0243935229086425,0,16.5719943330287,1.11079765739556e-61,113
"nodefactor.sum.party.R",0.35259340537777,0.0220163286636572,0,16.0150863826721,1.00267381530781e-57,113
"nodematch.sum.party",0.316221333010313,0.0187243429778454,0,16.8882472076305,5.49101894623411e-64,113
"nonzero",-1.45630950392936,0.0356175670233107,0,-40.8873942169112,0,114
"nodecov.sum.nominate_dim1",-0.870376327001881,0.0314281788973076,0,-27.6941381123564,8.2147069872939e-169,114
"absdiff.sum.nominate_dim1",-0.320178655794389,0.0354846513445016,0,-9.02301822514599,1.82977118740608e-19,114
"nodefactor.sum.party.R",0.547717270197172,0.026006345966258,0,21.0609083993503,1.81658053839622e-98,114
"nodematch.sum.party",0.490679121344853,0.021639134636616,0,22.6755426954351,7.81127791772171e-114,114
"nonzero",-1.69979063694839,0.0322114170623445,0,-52.7698186533824,0,115
"nodecov.sum.nominate_dim1",-0.821368831852792,0.0291078392654342,0,-28.2181313550187,3.50403324867168e-175,115
"absdiff.sum.nominate_dim1",0.0346585716568563,0.0295712811538228,0,1.17203483598058,0.241183070289346,115
"nodefactor.sum.party.R",0.43588470216343,0.0238829412908692,0,18.2508802770484,2.03601980850845e-74,115
"nodematch.sum.party",0.566526248274131,0.0188738460573144,0,30.0164707581992,5.98314043128138e-198,115
"nonzero",-1.66493568916991,0.0336985447621401,0,-49.4067533456355,0,116
"nodecov.sum.nominate_dim1",-1.3049316557759,0.025406514241327,0,-51.3620893988384,0,116
"absdiff.sum.nominate_dim1",-0.190124970348331,0.0274109522825817,0,-6.93609504654625,4.03086458783677e-12,116
"nodefactor.sum.party.R",0.755357583639779,0.0204832437188749,0,36.8768537838435,1.08598855593251e-297,116
"nodematch.sum.party",0.623712643003175,0.0168256356088778,0,37.0691876076338,8.8151706527243e-301,116
"nonzero",-2.14856869364903,0.0357227349253134,0,-60.1456942795985,0,117
"nodecov.sum.nominate_dim1",-0.942151922856502,0.0238943883229215,0,-39.4298406020593,0,117
"absdiff.sum.nominate_dim1",0.0625642515228632,0.0258903479487252,0,2.41650871771863,0.0156701509905328,117
"nodefactor.sum.party.R",0.680186552083165,0.0203671165296384,0,33.3963107194557,1.55091713881769e-244,117
"nodematch.sum.party",0.759897419315842,0.0163242146313242,0,46.5503202743788,0,117
